-ne EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
AP012325.1	2.1MB	2079525	0	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 DNA, complete
AP012326.1	2.6MB	2635669	0	0.59	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium dentium JCM 1195 = DSM 20436	Bifidobacterium dentium JCM 1195 = DSM 20436 DNA, complete genome.
AP012327.1	2.3MB	2337234	0	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA, complete genome.
AP012330.1	2.3MB	2313752	0	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 DNA,
AP012331.1	3.2MB	3158347	0	0.65	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium scardovii JCM 12489 = DSM 13734	Bifidobacterium scardovii JCM 12489 = DSM 13734 DNA, complete genome.
AP012332.1	1.7MB	1667406	0	0.41	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Gardnerella.	Gardnerella vaginalis ATCC 14018 = JCM 11026	Gardnerella vaginalis ATCC 14018 = JCM 11026 DNA, complete genome.
AP012333.1	1.9MB	1890857	0	0.58	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Parascardovia.	Parascardovia denticolens DSM 10105 = JCM 12538	Parascardovia denticolens DSM 10105 = JCM 12538 DNA, complete genome.
AP012334.1	1.8MB	1797862	0	0.49	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia.	Scardovia inopinata JCM 12537	Scardovia inopinata JCM 12537 DNA, complete genome.
AP012335.1	1.8MB	1811124	0	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes JRS4	Streptococcus pyogenes JRS4 DNA, complete genome.
AP012336.1	2.0MB	2015626	0	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus mutans LJ23	Streptococcus mutans LJ23 DNA, complete genome.
AP012337.1	5.1MB	5144873	0	0.59	Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae;Caldilinea.	Caldilinea aerophila DSM 14535 = NBRC 104270	Caldilinea aerophila DSM 14535 = NBRC 104270 DNA, complete genome.
AP012338.1	3.8MB	3803225	0	0.73	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae;Phycisphaera.	Phycisphaera mikurensis NBRC 102666	Phycisphaera mikurensis NBRC 102666 DNA, complete genome.
AP012340.1	4.4MB	4392353	0	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis str. Erdman = ATCC 35801	Mycobacterium tuberculosis str. Erdman = ATCC 35801 DNA, complete genome.
AP012342.1	2.6MB	2559538	0	0.50	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum.	Leptospirillum ferrooxidans C2-3	Leptospirillum ferrooxidans C2-3 DNA, complete genome.
AP012344.1	2.1MB	2078348	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter cinaedi PAGU611	Helicobacter cinaedi PAGU611 DNA, complete genome.
AP012491.2	1.8MB	1831128	0	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes M1 476	Streptococcus pyogenes M1 476 DNA, complete genome.
AP012492.1	2.2MB	2240130	0	0.38	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 DNA, complete genome.
AP012495.1	7.6MB	7585470	0	0.46	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.Bacteria; Cyanobacteria; Synechococcales; Merismopediaceae; Synechocystis.	Bacillus subtilis BEST7613	Bacillus subtilis BEST7613 DNA, complete genome.
AP012496.1	4.0MB	4043042	0	0.44	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus subtilis BEST7003	Bacillus subtilis BEST7003 DNA, complete genome.
AP012541.1	3.0MB	2995875	0	0.47	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus paracasei subsp. paracasei JCM 8130	Lactobacillus paracasei subsp. paracasei JCM 8130 DNA, complete genome.
AP012544.1	2.9MB	2924929	0	0.48	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus casei subsp. casei ATCC 393	Lactobacillus casei subsp. casei ATCC 393 DNA, complete genome.
AP012547.1	3.8MB	3802648	0	0.63	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales;Sterolibacteriaceae; Sulfuritalea.	Sulfuritalea hydrogenivorans sk43H	Sulfuritalea hydrogenivorans sk43H DNA, complete genome.
AP012548.1	0.6MB	632490	0	0.26	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Blattabacteriaceae; Blattabacterium.	Blattabacterium cuenoti BPAA	Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA DNA,
AP012549.1	2.8MB	2794318	0	0.33	Bacteria; Cyanobacteria.	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	Cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
AP012551.1	4.0MB	4035456	0	0.57	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae.	Plautia stali symbiont	Plautia stali symbiont DNA, complete genome.
AP012554.1	1.2MB	1151074	0	0.31	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Erwiniaceae; Pantoea.	Candidatus Pantoea carbekii	Candidatus Pantoea carbekii DNA, complete genome.
AP012555.1	5.0MB	4951217	0	0.69	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium avium complex (MAC).	Mycobacterium avium subsp. hominissuis TH135	Mycobacterium avium subsp. hominissuis TH135 chromosomal DNA, complete
AP012600.1	1.6MB	1616617	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori OK113	Helicobacter pylori OK113 DNA, complete genome.
AP012601.1	1.6MB	1591278	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori OK310	Helicobacter pylori OK310 DNA, complete genome.
AP012603.1	8.3MB	8264165	0	0.65	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Bradyrhizobiaceae; Bradyrhizobium.	Bradyrhizobium oligotrophicum S58	Bradyrhizobium oligotrophicum S58 DNA, complete genome.
AP012976.1	2.1MB	2076397	0	0.40	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus dysgalactiae subsp. equisimilis 167	Streptococcus dysgalactiae subsp. equisimilis 167 DNA, complete genome.
AP012978.1	2.6MB	2597759	0	0.65	Bacteria; Proteobacteria; Gammaproteobacteria.	endosymbiont of unidentified scaly snail isolate Monju	Endosymbiont of unidentified scaly snail isolate Monju DNA, complete
AP013028.1	1.3MB	1250060	0	0.36	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Wolbachieae; Wolbachia.	Wolbachia endosymbiont of Cimex lectularius	Wolbachia endosymbiont of Cimex lectularius DNA, complete genome.
AP013044.1	3.4MB	3350939	0	0.47	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae;Tannerella.	Tannerella forsythia 3313	Tannerella forsythia 3313 DNA, complete genome.
AP013045.1	3.4MB	3393002	0	0.47	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae;Tannerella.	Tannerella forsythia KS16	Tannerella forsythia KS16 DNA, complete genome.
AP013058.1	3.0MB	3013410	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE64	Burkholderia sp. RPE64 DNA, chromosome 1, complete genome.
AP013059.1	1.5MB	1465356	0	0.63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE64	Burkholderia sp. RPE64 DNA, chromosome 2, complete genome.
AP013060.1	0.9MB	900830	0	0.63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE64	Burkholderia sp. RPE64 DNA, chromosome 3, complete genome.
AP013063.1	5.2MB	5225577	0	0.60	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Yersiniaceae; Serratia.	Serratia marcescens SM39	Serratia marcescens SM39 DNA, complete genome.
AP013066.1	3.1MB	3130594	0	0.56	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales;Gallionellaceae; Sulfuricella.	Sulfuricella denitrificans skB26	Sulfuricella denitrificans skB26 DNA, complete genome.
AP013070.1	6.2MB	6156701	0	0.62	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas putida NBRC 14164	Pseudomonas putida NBRC 14164 DNA, complete genome.
AP013072.1	2.1MB	2122284	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus; Streptococcus anginosus group.	Streptococcus anginosus subsp. whileyi MAS624	Streptococcus anginosus subsp. whileyi MAS624 DNA, complete genome.
AP013105.1	2.9MB	2862526	0	0.63	Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae;Adlercreutzia.	Adlercreutzia equolifaciens DSM 19450	Adlercreutzia equolifaciens DSM 19450 DNA, complete genome.
AP013293.1	0.3MB	285352	0	0.21	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Candidatus Sulcia.	Candidatus Sulcia muelleri PSPU	Candidatus Sulcia muelleri PSPU DNA, complete genome.
AP013294.1	3.6MB	3594618	0	0.48	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus sp. OxB-1	Bacillus sp. OxB-1 DNA, complete genome.
AP013353.1	0.8MB	799088	0	0.31	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma californicum HAZ160_1	Mycoplasma californicum HAZ160_1 DNA, complete genome.
AP013354.1	1.7MB	1667638	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 26695-1	Helicobacter pylori 26695-1 DNA, complete genome.
AP013355.1	1.7MB	1667302	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 26695-1CH	Helicobacter pylori 26695-1CH DNA, complete genome.
AP013356.1	1.7MB	1667239	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 26695-1CL	Helicobacter pylori 26695-1CL DNA, complete genome.
AP013357.1	4.0MB	4021920	0	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii NCGM 237	Acinetobacter baumannii NCGM 237 DNA, complete genome.
AP014507.1	2.2MB	2169860	0	0.39	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga.	Pseudothermotoga elfii DSM 9442 = NBRC 107921	Pseudothermotoga elfii DSM 9442 = NBRC 107921 DNA, complete genome.
AP014508.1	2.2MB	2165165	0	0.49	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga.	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	Pseudothermotoga hypogea DSM 11164 = NBRC 106472 DNA, complete genome.
AP014509.1	2.0MB	2014912	0	0.51	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Thermotoga caldifontis AZM44c09	Thermotoga caldifontis AZM44c09 DNA, complete genome.
AP014510.1	2.2MB	2187612	0	0.39	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Thermotoga profunda AZM34c06	Thermotoga profunda AZM34c06 DNA, complete genome.
AP014521.1	0.7MB	708439	0	0.25	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Candidatus Tachikawaea.	Candidatus Tachikawaea gelatinosa	Candidatus Tachikawaea gelatinosa DNA, complete genome.
AP014522.1	6.8MB	6827892	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas protegens Cab57	Pseudomonas protegens Cab57 DNA, complete genome.
AP014523.1	1.7MB	1696917	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori NY40	Helicobacter pylori NY40 DNA, complete genome.
AP014524.1	2.9MB	2936971	0	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae MS6	Vibrio cholerae MS6 DNA, complete genome, chromosome 1.
AP014525.1	1.1MB	1093973	0	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae MS6	Vibrio cholerae MS6 DNA, complete genome, chromosome 2.
AP014547.1	5.0MB	4978382	0	0.64	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium abscessus.	Mycobacterium abscessus subsp. massiliense CCUG 48898 = JCM 15300	Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300 DNA,
AP014565.1	5.1MB	5051841	0	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553	Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553 DNA,
AP014568.1	2.6MB	2574013	0	0.66	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Comamonadaceae.	Comamonadaceae bacterium A1	Comamonadaceae bacterium A1 DNA, complete genome.
AP014569.1	2.6MB	2606868	0	0.66	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Comamonadaceae.	Comamonadaceae bacterium B1	Comamonadaceae bacterium B1 DNA, complete genome.
AP014576.1	3.1MB	3090091	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE67	Burkholderia sp. RPE67 DNA, complete genome, chromosome: 1.
AP014577.1	1.8MB	1787110	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE67	Burkholderia sp. RPE67 DNA, complete genome, chromosome: 2.
AP014578.1	1.7MB	1680600	0	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. RPE67	Burkholderia sp. RPE67 DNA, complete genome, chromosome: 3.
AP014582.1	5.2MB	5191712	0	0.68	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Bordetella.	Bordetella bronchiseptica	Bordetella bronchiseptica DNA, complete genome, strain: S798.
AP014583.1	3.8MB	3811479	0	0.32	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Winogradskyella.	Winogradskyella sp. PG-2	Winogradskyella sp. PG-2 DNA, complete genome.
AP014584.1	0.7MB	727289	0	0.26	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Ureaplasma.	Ureaplasma parvum serovar 3	Ureaplasma parvum serovar 3 DNA, complete genome, strain: SV3F4.
AP014595.1	1.2MB	1190853	0	0.36	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Liberibacter.	Candidatus Liberibacter asiaticus str. Ishi-1	Candidatus Liberibacter asiaticus str. Ishi-1 DNA, complete genome.
AP014613.1	3.1MB	3095417	0	0.55	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales;Alcanivoracaceae; Alcanivorax.	Alcanivorax sp. NBRC 101098	Alcanivorax sp. NBRC 101098 DNA, complete genome.
AP014622.1	6.8MB	6814936	0	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa	Pseudomonas aeruginosa DNA, complete genome, strain: NCGM 1900.
AP014624.1	5.5MB	5503743	0	0.36	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Chryseobacterium.	Chryseobacterium sp. StRB126	Chryseobacterium sp. StRB126 DNA, complete genome.
AP014627.1	6.9MB	6885464	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas sp. Os17	Pseudomonas sp. Os17 DNA, complete genome.
AP014628.1	6.8MB	6833117	0	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas sp. St29	Pseudomonas sp. St29 DNA, complete genome.
AP014633.1	4.8MB	4810005	0	0.41	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Thiotrichaceae; Thioploca.	Thioploca ingrica	Thioploca ingrica DNA, complete genome.
AP014637.1	6.3MB	6332373	0	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas sp. StFLB209	Pseudomonas sp. StFLB209 DNA, complete genome.
AP014638.1	6.2MB	6176364	0	0.47	Bacteria; Cyanobacteria; Synechococcales; Leptolyngbyaceae; Leptolyngbya.	Leptolyngbya boryana	Leptolyngbya boryana DNA, complete genome, strain: IAM M-101.
AP014642.1	6.2MB	6176365	0	0.47	Bacteria; Cyanobacteria; Synechococcales; Leptolyngbyaceae; Leptolyngbya.	Leptolyngbya boryana	Leptolyngbya boryana DNA, complete genome, strain: dg5.
AP014646.1	6.9MB	6850954	0	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa	Pseudomonas aeruginosa DNA, complete genome, strain: NCGM 1984.
AP014648.1	3.4MB	3424964	0	0.63	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Methyloceanibacter.	Methyloceanibacter caenitepidi	Methyloceanibacter caenitepidi DNA, complete genome, strain: Gela4.
AP014649.1	4.0MB	4000970	0	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii	Acinetobacter baumannii DNA, complete genome, strain: IOMTU 433.
AP014652.1	2.8MB	2770164	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus DNA, complete genome, strain: TMUS2126.
AP014653.1	2.8MB	2770164	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus DNA, complete genome, strain: TMUS2134.
AP014658.1	2.3MB	2290145	0	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium longum	Bifidobacterium longum DNA, complete genome, strain: 105-A.
AP014680.1	2.3MB	2277985	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus hokkaidonensis	Lactobacillus hokkaidonensis DNA, complete genome.
AP014685.1	9.8MB	9780023	0	0.64	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Bradyrhizobiaceae; Bradyrhizobium.	Bradyrhizobium diazoefficiens	Bradyrhizobium diazoefficiens DNA, complete genome, strain: NK6.
AP014696.1	3.9MB	3901300	0	0.28	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium botulinum	Clostridium botulinum DNA, complete genome, strain: 111.
AP014710.1	1.6MB	1629815	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori DNA, complete genome, strain: ML1.
AP014711.1	1.6MB	1562125	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori DNA, complete genome, strain: ML2.
AP014712.1	1.6MB	1629114	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori DNA, complete genome, strain: ML3.
AP014722.1	1.5MB	1473548	0	0.47	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales;Dehalococcoidaceae; Dehalococcoides.	Dehalococcoides sp. UCH007	Dehalococcoides sp. UCH007 DNA, complete genome.
AP014723.1	2.6MB	2606563	0	0.38	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Sulfurospirillum.	Sulfurospirillum sp. UCH001	Sulfurospirillum sp. UCH001 DNA, complete genome.
AP014724.1	2.7MB	2698323	0	0.44	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Sulfurospirillum.	Sulfurospirillum cavolei	Sulfurospirillum cavolei DNA, complete genome.
AP014800.1	4.5MB	4454432	0	0.67	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales;Rhodobacteraceae; Rhodovulum.	Rhodovulum sulfidophilum	Rhodovulum sulfidophilum DNA, complete genome, strain: DSM 2351.
AP014808.1	1.7MB	1704859	0	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus acetotolerans	Lactobacillus acetotolerans DNA, complete genome, strain: NBRC 13120.
AP014815.1	3.9MB	3883409	0	0.32	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Chroococcaceae; Geminocystis.	Geminocystis sp. NIES-3708	Geminocystis sp. NIES-3708 DNA, complete genome.
AP014821.1	4.2MB	4150181	0	0.33	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Chroococcaceae; Geminocystis.	Geminocystis sp. NIES-3709	Geminocystis sp. NIES-3709 DNA, complete genome.
BA000003.2	0.6MB	640681	0	0.26	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Erwiniaceae; Buchnera.	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola str. APS (Acyrthosiphon pisum) genomic DNA, complete
BA000004.3	4.2MB	4202352	0	0.44	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus halodurans C-125	Bacillus halodurans C-125 DNA, complete genome.
BA000007.2	5.5MB	5498450	0	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Escherichia.	Escherichia coli O157:H7 str. Sakai	Escherichia coli O157:H7 str. Sakai DNA, complete genome.
BA000008.3	1.2MB	1226565	0	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae J138	Chlamydophila pneumoniae J138 genomic DNA, complete sequence.
BA000012.4	7.0MB	7036071	0	0.63	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Phyllobacteriaceae; Mesorhizobium.	Mesorhizobium japonicum MAFF 303099	Mesorhizobium loti MAFF303099 DNA, complete genome.
BA000016.3	3.0MB	3031430	0	0.29	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium perfringens str. 13	Clostridium perfringens str. 13 DNA, complete genome.
BA000017.4	2.9MB	2878529	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus Mu50	Staphylococcus aureus subsp. aureus Mu50 DNA, complete genome.
BA000018.3	2.8MB	2814816	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus N315	Staphylococcus aureus subsp. aureus N315 DNA, complete genome.
BA000019.2	6.4MB	6413771	0	0.41	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Nostoc sp. PCC 7120	Nostoc sp. PCC 7120 DNA, complete genome.
BA000021.3	0.7MB	697724	0	0.22	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Erwiniaceae; Wigglesworthia.	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis DNA,
BA000022.2	3.6MB	3573470	0	0.48	Bacteria; Cyanobacteria; Synechococcales; Merismopediaceae; Synechocystis.	Synechocystis sp. PCC 6803	Synechocystis sp. PCC 6803 DNA, complete genome.
BA000026.2	1.4MB	1358633	0	0.26	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma penetrans HF-2	Mycoplasma penetrans HF-2 DNA, complete genome.
BA000028.3	3.6MB	3630528	0	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus.	Oceanobacillus iheyensis HTE831	Oceanobacillus iheyensis HTE831 DNA, complete genome.
BA000030.3	9.0MB	9025608	0	0.71	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces.	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome.
BA000031.2	3.3MB	3288558	0	0.45	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio parahaemolyticus RIMD 2210633	Vibrio parahaemolyticus RIMD 2210633 DNA, chromosome 1, complete sequence.
BA000032.2	1.9MB	1877212	0	0.45	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio parahaemolyticus RIMD 2210633	Vibrio parahaemolyticus RIMD 2210633 DNA, chromosome 2, complete sequence.
BA000033.2	2.8MB	2820462	0	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus MW2	Staphylococcus aureus subsp. aureus MW2 DNA, complete genome.
BA000034.2	1.9MB	1894275	0	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes SSI-1	Streptococcus pyogenes SSI-1 DNA, complete genome.
